owner,name,position,keeper round,adp,value
nytakemymoney,Jalen McMillan,WR,16,18,-2
nytakemymoney,Justin Tucker,K,11,33,-22
nytakemymoney,Hunter Henry,TE,16,15,1
nytakemymoney,David Njoku,TE,13,9,4
nytakemymoney,James Conner,RB,2,6,-4
nytakemymoney,Lamar Jackson,QB,3,3,0
nytakemymoney,Dallas Goedert,TE,10,13,-3
nytakemymoney,Courtland Sutton,WR,9,6,3
nytakemymoney,Jason Sanders,K,16,26,-10
nytakemymoney,Josh Jacobs,RB,1,2,-1
nytakemymoney,Jauan Jennings,WR,16,9,7
nytakemymoney,Ja'Marr Chase,WR,0,1,-1
nytakemymoney,Chris Olave,WR,5,8,-3
nytakemymoney,Brian Robinson,RB,8,8,0
nytakemymoney,Brenton Strange,TE,16,18,-2
nytakemymoney,Jordan Addison,WR,10,9,1
nytakemymoney,Zay Flowers,WR,4,6,-2
nytakemymoney,Cincinnati Bengals,DEF,16,39,-23
JordanKingzXx,Adam Thielen,WR,16,17,-1
JordanKingzXx,Stefon Diggs,WR,3,9,-6
JordanKingzXx,Alvin Kamara,RB,5,4,1
JordanKingzXx,Calvin Ridley,WR,14,6,8
JordanKingzXx,Mark Andrews,TE,4,9,-5
JordanKingzXx,Diontae Johnson,WR,7,27,-20
JordanKingzXx,Justice Hill,RB,16,20,-4
JordanKingzXx,Joe Burrow,QB,8,5,3
JordanKingzXx,Rico Dowdle,RB,10,16,-6
JordanKingzXx,Tyler Bass,K,15,25,-10
JordanKingzXx,DeVonta Smith,WR,6,6,0
JordanKingzXx,Pat Freiermuth,TE,16,21,-5
JordanKingzXx,Rachaad White,RB,2,13,-11
JordanKingzXx,James Cook,RB,1,4,-3
JordanKingzXx,Anthony Richardson,QB,3,17,-14
JordanKingzXx,Bijan Robinson,RB,0,1,-1
JordanKingzXx,San Francisco 49ers,DEF,13,24,-11
joeyad,Mike Evans,WR,6,4,2
joeyad,Ka'imi Fairbairn,K,14,24,-10
joeyad,Cooper Kupp,WR,3,12,-9
joeyad,Kareem Hunt,RB,16,21,-5
joeyad,George Kittle,TE,8,4,4
joeyad,Baker Mayfield,QB,16,8,8
joeyad,A.J. Brown,WR,0,2,-2
joeyad,Jerry Jeudy,WR,11,7,4
joeyad,Jalen Hurts,QB,2,4,-2
joeyad,Darnell Mooney,WR,16,13,3
joeyad,Travis Etienne,RB,1,10,-9
joeyad,Isiah Pacheco,RB,5,7,-2
