"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0","+4.1","56% (9/16)"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","+1","+0.7","56% (9/16)"
"3",1,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","+1","+2.9","68% (11/16)"
"4",1,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-2","+3.8","50% (8/16)"
"5",1,"Justin Jefferson",MIN,"WR2","6","2 out of 5 stars","0","+0.7","50% (8/16)"
"6",1,"CeeDee Lamb",DAL,"WR3","10","2 out of 5 stars","0","-0.4","46% (7/15)"
"7",2,"Puka Nacua",LAR,"WR4","8","3 out of 5 stars","+4","+1.4","54% (6/11)"
"8",2,"Malik Nabers",NYG,"WR5","14","2 out of 5 stars","+4","+1.8","42% (6/14)"
"9",2,"Nico Collins",HOU,"WR6","6","4 out of 5 stars","+4","+0.9","63% (7/11)"
"10",3,"Amon-Ra St. Brown",DET,"WR7","8","3 out of 5 stars","-1","+1.0","62% (10/16)"
"11",3,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+4","+3.7","75% (12/16)"
"12",3,"Ashton Jeanty",LV,"RB4","8","2 out of 5 stars","-2","-","-"
"13",3,"De'Von Achane",MIA,"RB5","12","4 out of 5 stars","+1","-0.2","50% (8/16)"
"14",3,"Derrick Henry",BAL,"RB6","7","4 out of 5 stars","-6","+2.8","56% (9/16)"
"15",3,"Christian McCaffrey",SF,"RB7","14","3 out of 5 stars","-8","-8.2","0% (0/4)"
"16",3,"Drake London",ATL,"WR9","5","3 out of 5 stars","+2","-0.3","56% (9/16)"
"17",3,"Jonathan Taylor",IND,"RB8","11","2 out of 5 stars","+2","+1.3","46% (6/13)"
"18",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","-1","+1.4","56% (9/16)"
"19",4,"Josh Jacobs",GB,"RB9","5","4 out of 5 stars","-3","+1.9","50% (8/16)"
"20",4,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+1","+0.8","53% (7/13)"
"21",4,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+5","+2.0","53% (8/15)"
"22",4,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+5","+1.3","53% (8/15)"
"23",4,"Chase Brown",CIN,"RB10","10","4 out of 5 stars","+1","+2.3","62% (10/16)"
"24",4,"Bucky Irving",TB,"RB11","9","3 out of 5 stars","-4","+2.8","75% (12/16)"
"25",4,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","0","-0.1","43% (7/16)"
"26",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-4","+2.0","56% (9/16)"
"27",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-4","+3.6","75% (12/16)"
"28",4,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+2","+1.6","50% (8/16)"
"29",5,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","0","+2.0","56% (9/16)"
"30",5,"Tee Higgins",CIN,"WR13","10","3 out of 5 stars","+1","+4.0","63% (7/11)"
"31",5,"Garrett Wilson",NYJ,"WR14","9","4 out of 5 stars","+3","+0.1","43% (7/16)"
"32",5,"Tyreek Hill",MIA,"WR15","12","3 out of 5 stars","-4","-2.1","31% (5/16)"
"33",5,"George Kittle",SF,"TE3","14","3 out of 5 stars","+2","+2.9","78% (11/14)"
"34",5,"Davante Adams",LAR,"WR16","8","3 out of 5 stars","+7","+1.3","46% (6/13)"
"35",5,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","+1","0.0","53% (8/15)"
"36",5,"Mike Evans",TB,"WR17","9","3 out of 5 stars","+4","+1.5","46% (6/13)"
"37",5,"Omarion Hampton",LAC,"RB13","12","2 out of 5 stars","0","-","-"
"38",5,"James Cook",BUF,"RB14","7","4 out of 5 stars","-5","+2.1","60% (9/15)"
"39",5,"Breece Hall",NYJ,"RB15","9","5 out of 5 stars","-7","-2.6","26% (4/15)"
"40",5,"Alvin Kamara",NO,"RB16","11","4 out of 5 stars","-1","-0.1","35% (5/14)"
"41",5,"Kenneth Walker III",SEA,"RB17","8","3 out of 5 stars","+3","+0.2","36% (4/11)"
"42",5,"Marvin Harrison Jr.",ARI,"WR18","8","4 out of 5 stars","+1","-1.6","37% (6/16)"
"43",5,"Terry McLaurin",WAS,"WR19","12","3 out of 5 stars","-1","+1.8","75% (12/16)"
"44",6,"DJ Moore",CHI,"WR20","5","2 out of 5 stars","+2","-0.2","31% (5/16)"
"45",6,"Tetairoa McMillan",CAR,"WR21","14","4 out of 5 stars","+19","-","-"
"46",6,"Jameson Williams",DET,"WR22","8","3 out of 5 stars","+16","+2.6","60% (9/15)"
"47",6,"DK Metcalf",PIT,"WR23","5","4 out of 5 stars","+1","-1.7","28% (4/14)"
"48",6,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","-10","+3.9","68% (11/16)"
"49",6,"Chuba Hubbard",CAR,"RB18","14","3 out of 5 stars","-4","+2.1","53% (8/15)"
"50",6,"Xavier Worthy",KC,"WR24","10","3 out of 5 stars","+10","+0.7","50% (8/16)"
"51",6,"James Conner",ARI,"RB19","8","3 out of 5 stars","-4","+0.4","62% (10/16)"
"52",6,"Courtland Sutton",DEN,"WR25","12","3 out of 5 stars","-3","+1.1","62% (10/16)"
"53",6,"Calvin Ridley",TEN,"WR26","10","4 out of 5 stars","+19","-0.4","37% (6/16)"
"54",6,"TreVeyon Henderson",NE,"RB20","14","4 out of 5 stars","+2","-","-"
"55",6,"Zay Flowers",BAL,"WR27","7","3 out of 5 stars","+3","-1.4","37% (6/16)"
"56",6,"Rashee Rice",KC,"WR28","10","3 out of 5 stars","-6","-0.7","75% (3/4)"
"57",6,"DeVonta Smith",PHI,"WR29","9","3 out of 5 stars","-5","+1.7","53% (7/13)"
"58",6,"Jaylen Waddle",MIA,"WR30","12","3 out of 5 stars","+15","-1.3","21% (3/14)"
"59",6,"D'Andre Swift",CHI,"RB21","5","3 out of 5 stars","0","-1.3","31% (5/16)"
"60",6,"David Montgomery",DET,"RB22","8","2 out of 5 stars","-6","+1.9","71% (10/14)"
"61",7,"George Pickens",DAL,"WR31","10","2 out of 5 stars","+7","-1.2","30% (4/13)"
