A.J. Brown,7.5
Amon-Ra St. Brown,8.5
Brian Thomas Jr.,7.5
Brock Bowers,5.5
Calvin Ridley,5.5
CeeDee Lamb,7.5
Cooper Kupp,5.5
Courtland Sutton,6.5
Davante Adams,7.5
DeVonta Smith,5.5
D.K. Metcalf,6.5
D.J. Moore,6.5
Drake London,7.5
Garrett Wilson,4.5
George Kittle,6.5
George Pickens,5.5
Ja'Marr Chase,10.5
Jameson Williams,5.5
Jaylen Waddle,5.5
Jaxon Smith-Njigba,5.5
Kyle Pitts,3.5
Ladd McConkey,6.5
Malik Nabers,7.5
Mark Andrews,5.5
Marvin Harrison Jr.,6.5
Mike Evans,7.5
Nico Collins,6.5
Puka Nacua,5.5
Rome Odunze,5.5
Sam LaPorta,6.5
Stefon Diggs,4.5
Tee Higgins,7.5
Tetairoa McMillan,4.5
Travis Hunter,4.5
Travis Kelce,4.5
Trey McBride,4.5
Tyreek Hill,7.5
Xavier Worthy,6.5
Zay Flowers,4.5
